Index,Country,Income
1,Switzerland,5457.12
2,Singapore,3355.49
3,Norway,3239.15
4,Qatar,3203.22
5,United States,3202.96
6,Iceland,3096.34
7,Australia,3073.05
8,Denmark,3064.11
9,Hong Kong,2645.53
10,Netherlands,2608.47
11,Sweden,2604.20
12,Japan,2569.87
13,New Zealand,2569.67
14,Finland,2557.52
15,Ireland,2543.08
16,Germany,2506.57
17,Canada,2473.51
18,United Arab Emirates,2472.81
19,United Kingdom,2364.12
20,Israel,2337.89
21,KOR,2263.87
22,Belgium,2215.10
23,Austria,2124.45
24,France,2119.91
25,Kuwait,1831.27
26,Saudi Arabia,1598.54
27,Italy,1544.41
28,Spain,1443.93
29,Taiwan,1347.03
30,Bahrain,1343.23
31,Estonia,1258.96
32,Slovenia,1242.77
33,Malta,1206.87
34,Cyprus,1184.86
35,South Africa,1170.77
36,Czech Republic,1085.94
37,Lebanon,990.31
38,Portugal,932.89
39,Slovakia,914.57
40,China,896.45
41,Lithuania,891.18
42,Poland,879.60
43,Malaysia,852.21
44,Croatia,849.54
45,Latvia,848.13
46,Palestine,815.94
47,Greece,788.51
48,Costa Rica,787.28
49,Panama,703.17
50,Hungary,699.37
51,Chile,660.10
52,Uruguay,646.02
53,Thailand,627.86
54,Guatemala,610.95
55,Jordan,600.73
56,Bulgaria,592.25
57,Romania,586.16
58,Iraq,563.66
59,Argentina,522.71
60,Mexico,518.18
61,Russia,515.55
62,Montenegro,515.10
63,Ecuador,507.62
64,Kosovo,481.64
65,Bosnia And Herzegovina,480.39
66,Bolivia,474.31
67,Peru,462.72
68,Brazil,445.59
69,Turkey,444.66
70,Belarus,442.95
71,Serbia,439.88
72,India,431.88
73,Morocco,409.28
74,Kazakhstan,399.35
75,Vietnam,384.17
76,Macedonia,377.65
77,Kenya,372.64
78,Ukraine,369.51
79,Albania,357.03
80,Dominican Republic,348.49
81,Bangladesh,330.01
82,Colombia,329.05
83,Armenia,319.31
84,Iran,318.71
85,Indonesia,312.84
86,Azerbaijan,310.17
87,Tunisia,302.96
88,Philippines,287.12
89,Algeria,269.35
90,Georgia,256.84
91,Sri Lanka,255.86
92,Pakistan,217.37
93,Uzbekistan,212.63
94,Egypt,208.99
95,Nepal,196.13
96,Nigeria,191.41
97,Venezuela,23.66
